NC_000001.10,1,249250621
NC_000002.11,1,243199373
NC_000003.11,1,198022430
NC_000004.11,1,191154276
NC_000005.9,1,180915260
NC_000006.11,1,171115067
NC_000007.13,1,159138663
NC_000008.10,1,146364022
NC_000009.11,1,141213431
NC_000010.10,1,135534747
NC_000011.9,1,135006516
NC_000012.11,1,133851895
NC_000013.10,1,115169878
NC_000014.8,1,107349540
NC_000015.9,1,102531392
NC_000016.9,1,90354753
NC_000017.10,1,81195210
NC_000018.9,1,78077248
NC_000019.9,1,59128983
NC_000020.10,1,63025520
NC_000021.8,1,48129895
NC_000022.10,1,51304566
NC_000023.10,1,155270560
NC_000024.9,1,59373566
